alumno_id,tutor_id,parentesco,prioridad,via_whatsapp,via_email,consentimiento_mensajes,recibe_factura,creado
00fca4aa-70ed-464e-822f-6272cba1d93e,66fd949e-6651-474e-a8fb-c2cba39265af,Abuela,2,false,false,false,false,2025-10-15 19:55:27.577974-07
00fca4aa-70ed-464e-822f-6272cba1d93e,76e4f5db-c411-4619-b35c-85373aad357d,Mamá,1,true,false,true,false,2025-10-15 19:55:26.912249-07
02b5e8d1-89fb-4a1d-a9d3-58817df86b24,d6681d4d-36f1-4b89-b3ed-d385f497f43f,Papá,2,true,false,true,false,2025-10-15 19:56:52.40323-07
02b5e8d1-89fb-4a1d-a9d3-58817df86b24,f5956f47-5b37-460e-8059-b229bbd21d0e,Mamá,1,false,false,false,false,2025-10-15 19:56:51.736632-07
0489bdaf-c632-4a1f-9b8e-85dba33a74b0,04ab1f8b-cd6a-407d-8a82-34b06529b52e,Tía,2,false,false,false,false,2025-10-15 18:55:44.169041-07
0489bdaf-c632-4a1f-9b8e-85dba33a74b0,ca8bf6ae-0024-4000-91c5-1dc229fe87ae,Mamá,1,true,false,true,false,2025-10-15 18:55:43.846335-07
05ea74c3-0d10-4956-90f5-22e05c155e58,b2d74544-c454-4bce-b06d-8dc881dbe3d9,Mamá,1,true,false,true,false,2025-10-16 12:44:39.975138-07
05ea74c3-0d10-4956-90f5-22e05c155e58,b6a236b6-7933-4efa-836d-658d6756be9c,Papá,2,true,false,true,false,2025-10-16 12:44:40.592133-07
061d5f0c-2ec0-4698-a862-38cdd50d237d,92df16cb-4cf0-4fde-a120-c4eae2a8aeca,Mamá,1,true,false,false,false,2026-04-29 08:01:07.805468-07
061d5f0c-2ec0-4698-a862-38cdd50d237d,972f2014-5d56-4273-858b-05eaab18743c,Papá,2,true,false,false,false,2026-04-29 08:01:08.112845-07
07d3c06f-1b7d-4925-b8d6-cfb887acabb6,4a090e3f-0911-4a65-8af2-677b37faccf4,Papá,2,true,false,true,false,2025-10-15 18:49:56.871417-07
