id,pago_code,alumno_id,ciclo_id,fecha_pago,monto_total,tipo_de_pago,metodo_de_pago,recibio,observaciones,comprobante_url,origen,agradecimiento_enviado,creado_en
00245035-6ff9-4022-acc9-a0af3fdd980d,,69450844-df68-4eb9-a465-967c31417074,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2025-09-09,1600.00,Colegiatura,Efectivo,Christian,septiembre,,UI,false,2025-10-20 08:23:00.07682-07
00cce7ee-4b15-4693-bda7-1d41d3c43ab9,,02b5e8d1-89fb-4a1d-a9d3-58817df86b24,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2026-02-06,1600.00,Colegiatura,Efectivo,Christian,Colegiatura Febrero,,UI,false,2026-02-06 09:04:59.359529-07
0108f19d-3305-4a4f-9e9e-d93a00482a84,,a4c9cada-bb7c-4116-8091-8b3e944aba30,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2025-09-02,1000.00,Colegiatura,Efectivo,Christian,septiembre,,UI,false,2025-10-19 16:49:50.958512-07
0136b30d-9b4b-4006-aae7-e589254a7545,,00fca4aa-70ed-464e-822f-6272cba1d93e,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2026-02-06,1400.00,Colegiatura,Efectivo,Fran,"Colegiatura Febrero ",,UI,false,2026-02-16 07:58:07.022072-07
02790b4a-29e0-4105-b536-c18cfff2180b,,8d1da005-457e-4b91-b44a-605b0ca3c47a,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2025-11-28,1600.00,Colegiatura,Efectivo,Fran,pago a colegiaturas,,UI,false,2025-12-01 11:56:22.194862-07
029b4a50-b584-4e4d-afcb-d7d1ad63af4c,,533aa94a-8eb8-436d-82ac-cb0d104f816e,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2026-04-15,900.00,Colegiatura,Efectivo,Fran,Agosto,,UI,false,2026-04-23 10:21:11.013087-07
039e6bdc-7b56-4c43-ae71-228db6dda632,,3523dbd3-f616-4c1d-9a52-db64d88e0b23,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2026-03-19,2600.00,Colegiatura,Efectivo,Fran,,,UI,false,2026-03-19 10:33:08.988774-07
03ff9a0a-174f-420c-a991-1d9c3caf87a0,,562676d8-327a-4012-97e1-f0cfefc685b0,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2025-12-05,4900.00,Colegiatura,Transferencia,Christian,Pago completo hasta Diciembre / Julio,,UI,false,2025-12-05 08:56:52.866165-07
041bd494-9c8d-4bed-897d-db8845c0b4db,,6d484f92-07ed-4ef5-acde-ed43c7314527,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2025-10-07,1500.00,Colegiatura,Efectivo,Christian,octubre,,UI,false,2025-10-19 16:09:17.629198-07
04e30d42-ee72-43a5-96cf-5a73a3db1f1a,,2a01ea65-7487-4834-ab23-855018d8868e,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2025-10-17,1500.00,Colegiatura,Efectivo,Christian,octubre,,UI,false,2025-10-20 09:24:15.818542-07
0597e040-8694-4ca5-8cdc-d3541e6dcf23,,0a79ced7-bab3-44d8-89da-e166880163bd,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2026-06-30,900.00,Colegiatura,Transferencia,Christian,,,UI,false,2026-06-30 15:27:25.22922-07
05ccfec6-40a3-484e-8e23-6cbe9465cb1a,,07d3c06f-1b7d-4925-b8d6-cfb887acabb6,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2025-11-04,3200.00,Colegiatura,Efectivo,Christian,Septiembre y Octubre,,UI,false,2025-11-04 08:19:14.469191-07
07b33e9e-44c4-40bc-86a4-fc0a81937fe0,,fdee6234-bf6d-4d45-bbd4-731a1c453987,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2026-03-05,1900.00,Colegiatura,Efectivo,Christian,Colegiatura Marzo/Agosto,,UI,false,2026-03-05 08:02:54.303476-07
0815afc7-b2d1-4ee1-874e-f938e759e4af,,edd2b7ac-5bca-4650-8c2e-75f65e70849f,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,2026-03-02,2400.00,Colegiatura,Transferencia,Citlali,Pago Marzo/Agosto,,UI,false,2026-03-02 09:56:18.563596-07
