id,alumno_id,concepto,vigencia_desde,importe_base,notas
000b6426-6a90-41bc-9def-9fd729e6df5c,40dc866f-fce4-4635-bf68-fa98f8b87c6e,INSCRIPCION,2025-09-01,2500.00,
0198adc9-27a3-4ec5-ac6d-c9762d70e297,c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554,COLEGIATURA,2025-09-02,1500.00,Alta inicial (personalizada)
0314a097-5857-401e-8e25-41bb1fe69021,3523dbd3-f616-4c1d-9a52-db64d88e0b23,INSCRIPCION,2025-02-01,1100.00,
0921d120-e30d-47e3-8f4d-384a085bd3d7,61ed3b0d-3542-46bc-a02d-4f73b36cffd3,COLEGIATURA,2025-09-01,1100.00,beca christian
09666bfa-2ede-4f54-8bed-2fef7d2d5a72,bfce22f5-d7f1-4b93-8fc1-eb5907831b0c,COLEGIATURA,2025-09-03,1500.00,
096e8b75-b23b-41e8-86a5-ec64f6b61ed5,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,INSCRIPCION,2026-04-10,1000.00,
0d719067-6831-49c0-ba67-becd3a9f8278,2fe35f28-fbab-491d-91b2-3d939e6b55bd,INSCRIPCION,2025-02-15,1100.00,preinscripciones
0e63ec89-ab56-4789-8a3f-10072988d11c,6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb,INSCRIPCION,2025-09-01,2500.00,
100599ea-a307-434f-9b35-f1fd1eb85084,209dac48-1e05-4390-a5da-676e1ee3b311,COLEGIATURA,2025-09-02,1000.00,Beca Fran
10a06f3e-dcd5-41ca-9943-f5a84959ab61,69450844-df68-4eb9-a465-967c31417074,INSCRIPCION,2025-02-01,1100.00,
10df1fe0-9364-4431-afb6-77ac4311cbee,5b6f10bf-24ec-4e49-8839-dbf02ee4cd75,COLEGIATURA,2025-09-02,1500.00,Alta inicial (personalizada)
11e2a7fa-ffcd-43b8-96ae-b65f8787fe60,0e861609-c592-4713-bfad-a86c2f7d1c00,COLEGIATURA,2025-09-02,1600.00,Alta inicial (personalizada)
1659e568-ea89-49a4-9499-3080f67ae56b,81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a,COLEGIATURA,2025-09-01,1000.00,Alta inicial (personalizada)
18002a07-9008-44bf-a421-035c6f8a41ff,58f5f801-a774-4b45-8960-aec7b7127187,COLEGIATURA,2025-09-02,1600.00,Alta inicial (personalizada)
1a15b055-350a-4f93-9dd1-50c238cf04d3,2645afb7-c140-490c-b8db-c0dd4fbf6e11,COLEGIATURA,2025-09-01,1500.00,Alta inicial (personalizada)
