legacy_id,legacy_student_id,legacy_cycle_id,cycle_code,education_level_code,grade_sort_order,classification_code,status,enrolled_on,classes_start_on,closed_on,academic_participation_override
25-26:00fca4aa-70ed-464e-822f-6272cba1d93e,00fca4aa-70ed-464e-822f-6272cba1d93e,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:02b5e8d1-89fb-4a1d-a9d3-58817df86b24,02b5e8d1-89fb-4a1d-a9d3-58817df86b24,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:0489bdaf-c632-4a1f-9b8e-85dba33a74b0,0489bdaf-c632-4a1f-9b8e-85dba33a74b0,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,CAMPUS,BAJA,2025-09-01,2025-09-01,,
25-26:05ea74c3-0d10-4956-90f5-22e05c155e58,05ea74c3-0d10-4956-90f5-22e05c155e58,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:061d5f0c-2ec0-4698-a862-38cdd50d237d,061d5f0c-2ec0-4698-a862-38cdd50d237d,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,1,CAMPUS,ACTIVA,2025-09-01,2025-09-01,,
25-26:07d3c06f-1b7d-4925-b8d6-cfb887acabb6,07d3c06f-1b7d-4925-b8d6-cfb887acabb6,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:0a79ced7-bab3-44d8-89da-e166880163bd,0a79ced7-bab3-44d8-89da-e166880163bd,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:0aca2748-83a1-4b8f-ae90-c4e31231af74,0aca2748-83a1-4b8f-ae90-c4e31231af74,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:0baa1c8c-b4cb-4c7c-b909-3af50436661e,0baa1c8c-b4cb-4c7c-b909-3af50436661e,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,1,CAMPUS,ACTIVA,2025-09-01,2025-09-01,,
25-26:0e861609-c592-4713-bfad-a86c2f7d1c00,0e861609-c592-4713-bfad-a86c2f7d1c00,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
