legacy_charge_key,legacy_student_id,concept_code,coverage_year,coverage_month,original_amount,allocated_amount,remaining_amount,legacy_period
00fca4aa-70ed-464e-822f-6272cba1d93e|ENROLLMENT_FEE|25-26,00fca4aa-70ed-464e-822f-6272cba1d93e,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
02b5e8d1-89fb-4a1d-a9d3-58817df86b24|ENROLLMENT_FEE|25-26,02b5e8d1-89fb-4a1d-a9d3-58817df86b24,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
0489bdaf-c632-4a1f-9b8e-85dba33a74b0|ENROLLMENT_FEE|25-26,0489bdaf-c632-4a1f-9b8e-85dba33a74b0,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
05ea74c3-0d10-4956-90f5-22e05c155e58|ENROLLMENT_FEE|25-26,05ea74c3-0d10-4956-90f5-22e05c155e58,ENROLLMENT_FEE,,,2500.00,0.00,2500.00,INS
061d5f0c-2ec0-4698-a862-38cdd50d237d|ENROLLMENT_FEE|25-26,061d5f0c-2ec0-4698-a862-38cdd50d237d,ENROLLMENT_FEE,,,1000.00,1000.00,0.00,INS
07d3c06f-1b7d-4925-b8d6-cfb887acabb6|ENROLLMENT_FEE|25-26,07d3c06f-1b7d-4925-b8d6-cfb887acabb6,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
0a79ced7-bab3-44d8-89da-e166880163bd|ENROLLMENT_FEE|25-26,0a79ced7-bab3-44d8-89da-e166880163bd,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
0e861609-c592-4713-bfad-a86c2f7d1c00|ENROLLMENT_FEE|25-26,0e861609-c592-4713-bfad-a86c2f7d1c00,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
18f8e872-a787-4eef-953c-1c326065039e|ENROLLMENT_FEE|25-26,18f8e872-a787-4eef-953c-1c326065039e,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
1e3beb16-3079-4aaa-93fc-a0203720434d|ENROLLMENT_FEE|25-26,1e3beb16-3079-4aaa-93fc-a0203720434d,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
209dac48-1e05-4390-a5da-676e1ee3b311|ENROLLMENT_FEE|25-26,209dac48-1e05-4390-a5da-676e1ee3b311,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
2645afb7-c140-490c-b8db-c0dd4fbf6e11|ENROLLMENT_FEE|25-26,2645afb7-c140-490c-b8db-c0dd4fbf6e11,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
273286ee-1011-4ae2-828e-974f625a6fd2|ENROLLMENT_FEE|25-26,273286ee-1011-4ae2-828e-974f625a6fd2,ENROLLMENT_FEE,,,2500.00,1500.00,1000.00,INS
2a01ea65-7487-4834-ab23-855018d8868e|ENROLLMENT_FEE|25-26,2a01ea65-7487-4834-ab23-855018d8868e,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
2a0d752a-79d5-4658-bf0d-64b137383ac6|ENROLLMENT_FEE|25-26,2a0d752a-79d5-4658-bf0d-64b137383ac6,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
2bc201a6-4c7f-402c-9ed1-a2310ae79d3c|ENROLLMENT_FEE|25-26,2bc201a6-4c7f-402c-9ed1-a2310ae79d3c,ENROLLMENT_FEE,,,2000.00,2000.00,0.00,INS
2e6b93f5-df65-49fd-8c38-d2325e1f2a4f|ENROLLMENT_FEE|25-26,2e6b93f5-df65-49fd-8c38-d2325e1f2a4f,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
2fe35f28-fbab-491d-91b2-3d939e6b55bd|ENROLLMENT_FEE|25-26,2fe35f28-fbab-491d-91b2-3d939e6b55bd,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
317e5fd7-d8e6-4476-b348-a0a726649924|ENROLLMENT_FEE|25-26,317e5fd7-d8e6-4476-b348-a0a726649924,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
3523dbd3-f616-4c1d-9a52-db64d88e0b23|ENROLLMENT_FEE|25-26,3523dbd3-f616-4c1d-9a52-db64d88e0b23,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
37b6c311-9c1a-461e-a70b-d93557cdbc0d|ENROLLMENT_FEE|25-26,37b6c311-9c1a-461e-a70b-d93557cdbc0d,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
3f41b6c5-35cb-41d3-a974-762ad0f1c7f3|ENROLLMENT_FEE|25-26,3f41b6c5-35cb-41d3-a974-762ad0f1c7f3,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
3f6663d7-9b89-4ea2-9f06-5035caff6390|ENROLLMENT_FEE|25-26,3f6663d7-9b89-4ea2-9f06-5035caff6390,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
40dc866f-fce4-4635-bf68-fa98f8b87c6e|ENROLLMENT_FEE|25-26,40dc866f-fce4-4635-bf68-fa98f8b87c6e,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
4f28d56c-a1e3-4052-87a3-ecd1d9b0d5b6|ENROLLMENT_FEE|25-26,4f28d56c-a1e3-4052-87a3-ecd1d9b0d5b6,ENROLLMENT_FEE,,,2000.00,2000.00,0.00,INS
533aa94a-8eb8-436d-82ac-cb0d104f816e|ENROLLMENT_FEE|25-26,533aa94a-8eb8-436d-82ac-cb0d104f816e,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
54a3ac62-0b3d-4d6f-ae14-f7adec420285|ENROLLMENT_FEE|25-26,54a3ac62-0b3d-4d6f-ae14-f7adec420285,ENROLLMENT_FEE,,,2500.00,0.00,2500.00,INS
562676d8-327a-4012-97e1-f0cfefc685b0|ENROLLMENT_FEE|25-26,562676d8-327a-4012-97e1-f0cfefc685b0,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
58676041-fe76-4791-9f8b-7bc1dad83cb8|ENROLLMENT_FEE|25-26,58676041-fe76-4791-9f8b-7bc1dad83cb8,ENROLLMENT_FEE,,,2400.00,2400.00,0.00,INS
58d1397f-6c2f-4806-874f-04e5ac218830|ENROLLMENT_FEE|25-26,58d1397f-6c2f-4806-874f-04e5ac218830,ENROLLMENT_FEE,,,2500.00,0.00,2500.00,INS
58f5f801-a774-4b45-8960-aec7b7127187|ENROLLMENT_FEE|25-26,58f5f801-a774-4b45-8960-aec7b7127187,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
5af22e45-f9f7-4577-b07b-7ce4a7940329|ENROLLMENT_FEE|25-26,5af22e45-f9f7-4577-b07b-7ce4a7940329,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
5b6f10bf-24ec-4e49-8839-dbf02ee4cd75|ENROLLMENT_FEE|25-26,5b6f10bf-24ec-4e49-8839-dbf02ee4cd75,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
5cb7777e-5664-4929-b875-cddff5a7c18c|ENROLLMENT_FEE|25-26,5cb7777e-5664-4929-b875-cddff5a7c18c,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
61565b9f-a82a-49cf-aa9f-3e7df8d7889c|ENROLLMENT_FEE|25-26,61565b9f-a82a-49cf-aa9f-3e7df8d7889c,ENROLLMENT_FEE,,,2500.00,0.00,2500.00,INS
61ed3b0d-3542-46bc-a02d-4f73b36cffd3|ENROLLMENT_FEE|25-26,61ed3b0d-3542-46bc-a02d-4f73b36cffd3,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
64b7b8c4-c418-4b27-8aa7-31c44d2850f4|ENROLLMENT_FEE|25-26,64b7b8c4-c418-4b27-8aa7-31c44d2850f4,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb|ENROLLMENT_FEE|25-26,6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb,ENROLLMENT_FEE,,,2500.00,2500.00,0.00,INS
69450844-df68-4eb9-a465-967c31417074|ENROLLMENT_FEE|25-26,69450844-df68-4eb9-a465-967c31417074,ENROLLMENT_FEE,,,1100.00,1100.00,0.00,INS
