legacy_charge_key,legacy_student_id,cycle_code,concept_code,coverage_year,coverage_month,original_amount,due_date,origin,status,legacy_period,legacy_price_id,price_resolution
00fca4aa-70ed-464e-822f-6272cba1d93e|ENROLLMENT_FEE|25-26,00fca4aa-70ed-464e-822f-6272cba1d93e,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,bcaea0da-ad02-4a90-a7a6-868e29c7793c,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
02b5e8d1-89fb-4a1d-a9d3-58817df86b24|ENROLLMENT_FEE|25-26,02b5e8d1-89fb-4a1d-a9d3-58817df86b24,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,e6ad0ac3-c051-47da-b21d-69cf4c485047,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
0489bdaf-c632-4a1f-9b8e-85dba33a74b0|ENROLLMENT_FEE|25-26,0489bdaf-c632-4a1f-9b8e-85dba33a74b0,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,85e84105-cbe3-4367-ae87-c7bd269b36df,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
05ea74c3-0d10-4956-90f5-22e05c155e58|ENROLLMENT_FEE|25-26,05ea74c3-0d10-4956-90f5-22e05c155e58,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,a808491d-5c3c-4166-8fd0-f3dd42a69247,DUE_DATE:EXACT_OR_PRIOR
061d5f0c-2ec0-4698-a862-38cdd50d237d|ENROLLMENT_FEE|25-26,061d5f0c-2ec0-4698-a862-38cdd50d237d,25-26,ENROLLMENT_FEE,,,1000.00,2026-04-29,LEGACY_MIGRATION,ACTIVE,INS,baf7e1f7-6655-43dd-853a-a8a9d8dd6393,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
07d3c06f-1b7d-4925-b8d6-cfb887acabb6|ENROLLMENT_FEE|25-26,07d3c06f-1b7d-4925-b8d6-cfb887acabb6,25-26,ENROLLMENT_FEE,,,2500.00,2025-08-07,LEGACY_MIGRATION,ACTIVE,INS,25306865-46a0-44b4-a6a9-5d85b1536d17,FIRST_ENROLLMENT_PAYMENT_DATE:FUTURE_FALLBACK
0a79ced7-bab3-44d8-89da-e166880163bd|ENROLLMENT_FEE|25-26,0a79ced7-bab3-44d8-89da-e166880163bd,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-15,LEGACY_MIGRATION,ACTIVE,INS,b7abbdf5-e523-47a7-98ef-8ca435ea84b9,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
0e861609-c592-4713-bfad-a86c2f7d1c00|ENROLLMENT_FEE|25-26,0e861609-c592-4713-bfad-a86c2f7d1c00,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,f79c2594-1d15-404f-acbf-f638938a98c0,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
18f8e872-a787-4eef-953c-1c326065039e|ENROLLMENT_FEE|25-26,18f8e872-a787-4eef-953c-1c326065039e,25-26,ENROLLMENT_FEE,,,2500.00,2025-10-29,LEGACY_MIGRATION,ACTIVE,INS,e23a1882-d855-4578-b4fa-cdc343116182,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
1e3beb16-3079-4aaa-93fc-a0203720434d|ENROLLMENT_FEE|25-26,1e3beb16-3079-4aaa-93fc-a0203720434d,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,bd25d0e4-b08f-4573-8bf1-c00cf7603258,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
209dac48-1e05-4390-a5da-676e1ee3b311|ENROLLMENT_FEE|25-26,209dac48-1e05-4390-a5da-676e1ee3b311,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-30,LEGACY_MIGRATION,ACTIVE,INS,89ccd65d-772d-41e6-be69-65a69783fb11,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
2645afb7-c140-490c-b8db-c0dd4fbf6e11|ENROLLMENT_FEE|25-26,2645afb7-c140-490c-b8db-c0dd4fbf6e11,25-26,ENROLLMENT_FEE,,,2500.00,2025-08-22,LEGACY_MIGRATION,ACTIVE,INS,eab6b4f2-581e-4757-921c-31062bf642ec,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
273286ee-1011-4ae2-828e-974f625a6fd2|ENROLLMENT_FEE|25-26,273286ee-1011-4ae2-828e-974f625a6fd2,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,2d21daf4-b7c8-46c4-9665-98c856578ada,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
2a01ea65-7487-4834-ab23-855018d8868e|ENROLLMENT_FEE|25-26,2a01ea65-7487-4834-ab23-855018d8868e,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,fb6dd94f-a358-4f8d-9545-c0ed19f12841,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
2a0d752a-79d5-4658-bf0d-64b137383ac6|ENROLLMENT_FEE|25-26,2a0d752a-79d5-4658-bf0d-64b137383ac6,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-20,LEGACY_MIGRATION,ACTIVE,INS,a6f17dbd-aefa-4b7e-b7ba-ae56d9263f98,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
2bc201a6-4c7f-402c-9ed1-a2310ae79d3c|ENROLLMENT_FEE|25-26,2bc201a6-4c7f-402c-9ed1-a2310ae79d3c,25-26,ENROLLMENT_FEE,,,2000.00,2025-06-16,LEGACY_MIGRATION,ACTIVE,INS,dd3b4c8c-8a38-432f-80bd-4aea6ec9fbc2,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
2e6b93f5-df65-49fd-8c38-d2325e1f2a4f|ENROLLMENT_FEE|25-26,2e6b93f5-df65-49fd-8c38-d2325e1f2a4f,25-26,ENROLLMENT_FEE,,,2500.00,2025-08-26,LEGACY_MIGRATION,ACTIVE,INS,de8c1fd6-cb71-498c-921e-ee83c9f23fe0,FIRST_ENROLLMENT_PAYMENT_DATE:FUTURE_FALLBACK
2fe35f28-fbab-491d-91b2-3d939e6b55bd|ENROLLMENT_FEE|25-26,2fe35f28-fbab-491d-91b2-3d939e6b55bd,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-15,LEGACY_MIGRATION,ACTIVE,INS,0d719067-6831-49c0-ba67-becd3a9f8278,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
317e5fd7-d8e6-4476-b348-a0a726649924|ENROLLMENT_FEE|25-26,317e5fd7-d8e6-4476-b348-a0a726649924,25-26,ENROLLMENT_FEE,,,2500.00,2025-08-07,LEGACY_MIGRATION,ACTIVE,INS,84868e52-762b-4e5b-b541-d953b22d7933,FIRST_ENROLLMENT_PAYMENT_DATE:FUTURE_FALLBACK
3523dbd3-f616-4c1d-9a52-db64d88e0b23|ENROLLMENT_FEE|25-26,3523dbd3-f616-4c1d-9a52-db64d88e0b23,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-15,LEGACY_MIGRATION,ACTIVE,INS,0314a097-5857-401e-8e25-41bb1fe69021,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
37b6c311-9c1a-461e-a70b-d93557cdbc0d|ENROLLMENT_FEE|25-26,37b6c311-9c1a-461e-a70b-d93557cdbc0d,25-26,ENROLLMENT_FEE,,,2500.00,2025-06-15,LEGACY_MIGRATION,ACTIVE,INS,,VERIFIED_HISTORICAL_OVERRIDE
3f41b6c5-35cb-41d3-a974-762ad0f1c7f3|ENROLLMENT_FEE|25-26,3f41b6c5-35cb-41d3-a974-762ad0f1c7f3,25-26,ENROLLMENT_FEE,,,2500.00,2025-11-04,LEGACY_MIGRATION,ACTIVE,INS,4e5cfdea-b9ff-47d4-ac59-2eb5f8354dc1,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
3f6663d7-9b89-4ea2-9f06-5035caff6390|ENROLLMENT_FEE|25-26,3f6663d7-9b89-4ea2-9f06-5035caff6390,25-26,ENROLLMENT_FEE,,,2500.00,2025-08-26,LEGACY_MIGRATION,ACTIVE,INS,35fa272a-83ce-43e0-8537-b83e715e380f,FIRST_ENROLLMENT_PAYMENT_DATE:FUTURE_FALLBACK
40dc866f-fce4-4635-bf68-fa98f8b87c6e|ENROLLMENT_FEE|25-26,40dc866f-fce4-4635-bf68-fa98f8b87c6e,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,000b6426-6a90-41bc-9def-9fd729e6df5c,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
4f28d56c-a1e3-4052-87a3-ecd1d9b0d5b6|ENROLLMENT_FEE|25-26,4f28d56c-a1e3-4052-87a3-ecd1d9b0d5b6,25-26,ENROLLMENT_FEE,,,2000.00,2025-09-15,LEGACY_MIGRATION,ACTIVE,INS,2af599d3-b29a-4d1f-bba0-95cedd150a08,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
533aa94a-8eb8-436d-82ac-cb0d104f816e|ENROLLMENT_FEE|25-26,533aa94a-8eb8-436d-82ac-cb0d104f816e,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-15,LEGACY_MIGRATION,ACTIVE,INS,95beb952-ce40-4412-b994-54d47109dea8,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
54a3ac62-0b3d-4d6f-ae14-f7adec420285|ENROLLMENT_FEE|25-26,54a3ac62-0b3d-4d6f-ae14-f7adec420285,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,635c0ed2-a786-4fa5-9ec0-9e3f242a5165,DUE_DATE:EXACT_OR_PRIOR
562676d8-327a-4012-97e1-f0cfefc685b0|ENROLLMENT_FEE|25-26,562676d8-327a-4012-97e1-f0cfefc685b0,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,fa4fb19e-044f-471b-af15-12c1af6ffecc,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
58676041-fe76-4791-9f8b-7bc1dad83cb8|ENROLLMENT_FEE|25-26,58676041-fe76-4791-9f8b-7bc1dad83cb8,25-26,ENROLLMENT_FEE,,,2400.00,2025-10-06,LEGACY_MIGRATION,ACTIVE,INS,93d23a6e-1eca-4e4a-bc39-864d9943a4d0,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
58d1397f-6c2f-4806-874f-04e5ac218830|ENROLLMENT_FEE|25-26,58d1397f-6c2f-4806-874f-04e5ac218830,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,9a342cce-21d9-4148-aa81-001a39e63450,DUE_DATE:EXACT_OR_PRIOR
58f5f801-a774-4b45-8960-aec7b7127187|ENROLLMENT_FEE|25-26,58f5f801-a774-4b45-8960-aec7b7127187,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,ed08d1e3-4963-43fb-95d6-1d54db3b072b,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
