legacy_agreement_key,legacy_student_id,concept_code,legacy_price_id,base_amount_snapshot,benefit_type_snapshot,benefit_value_snapshot,agreed_amount,valid_from,valid_until,reason,source
40dc866f-fce4-4635-bf68-fa98f8b87c6e|ENROLLMENT_FEE|2025-09-01,40dc866f-fce4-4635-bf68-fa98f8b87c6e,ENROLLMENT_FEE,000b6426-6a90-41bc-9def-9fd729e6df5c,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554|TUITION|2025-09-02,c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554,TUITION,0198adc9-27a3-4ec5-ac6d-c9762d70e297,1500.00,,,1500.00,2025-09-02,2025-09-02,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554|TUITION|2025-09-03,c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554,TUITION,79feb6b4-62ee-47b1-981b-00a4f63ce8c8,1500.00,,,1500.00,2025-09-03,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
3523dbd3-f616-4c1d-9a52-db64d88e0b23|ENROLLMENT_FEE|2025-02-01,3523dbd3-f616-4c1d-9a52-db64d88e0b23,ENROLLMENT_FEE,0314a097-5857-401e-8e25-41bb1fe69021,1100.00,,,1100.00,2025-02-01,,,LEGACY_PRICE_HISTORY
61ed3b0d-3542-46bc-a02d-4f73b36cffd3|TUITION|2025-09-01,61ed3b0d-3542-46bc-a02d-4f73b36cffd3,TUITION,0921d120-e30d-47e3-8f4d-384a085bd3d7,1600.00,FIXED_AMOUNT,500.00,1100.00,2025-09-01,,beca christian,LEGACY_PRICE_HISTORY
bfce22f5-d7f1-4b93-8fc1-eb5907831b0c|TUITION|2025-09-02,bfce22f5-d7f1-4b93-8fc1-eb5907831b0c,TUITION,7795e752-fabf-4db9-8ebe-7057f599f8c0,1600.00,FIXED_AMOUNT,600.00,1000.00,2025-09-02,2025-09-02,beca fran,LEGACY_PRICE_HISTORY
bfce22f5-d7f1-4b93-8fc1-eb5907831b0c|TUITION|2025-09-03,bfce22f5-d7f1-4b93-8fc1-eb5907831b0c,TUITION,09666bfa-2ede-4f54-8bed-2fef7d2d5a72,1600.00,FIXED_AMOUNT,100.00,1500.00,2025-09-03,,,LEGACY_PRICE_HISTORY
b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|ENROLLMENT_FEE|2026-04-10,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,ENROLLMENT_FEE,096e8b75-b23b-41e8-86a5-ec64f6b61ed5,1000.00,,,1000.00,2026-04-10,,,LEGACY_PRICE_HISTORY
2fe35f28-fbab-491d-91b2-3d939e6b55bd|ENROLLMENT_FEE|2025-02-15,2fe35f28-fbab-491d-91b2-3d939e6b55bd,ENROLLMENT_FEE,0d719067-6831-49c0-ba67-becd3a9f8278,1100.00,,,1100.00,2025-02-15,,preinscripciones,LEGACY_PRICE_HISTORY
6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb|ENROLLMENT_FEE|2025-09-01,6539fe6a-8f3f-4a06-aa20-dbb71a0a4ccb,ENROLLMENT_FEE,0e63ec89-ab56-4789-8a3f-10072988d11c,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
209dac48-1e05-4390-a5da-676e1ee3b311|TUITION|2025-09-02,209dac48-1e05-4390-a5da-676e1ee3b311,TUITION,100599ea-a307-434f-9b35-f1fd1eb85084,1600.00,FIXED_AMOUNT,600.00,1000.00,2025-09-02,,Beca Fran,LEGACY_PRICE_HISTORY
69450844-df68-4eb9-a465-967c31417074|ENROLLMENT_FEE|2025-02-01,69450844-df68-4eb9-a465-967c31417074,ENROLLMENT_FEE,10a06f3e-dcd5-41ca-9943-f5a84959ab61,1100.00,,,1100.00,2025-02-01,,,LEGACY_PRICE_HISTORY
5b6f10bf-24ec-4e49-8839-dbf02ee4cd75|TUITION|2025-09-02,5b6f10bf-24ec-4e49-8839-dbf02ee4cd75,TUITION,10df1fe0-9364-4431-afb6-77ac4311cbee,1600.00,FIXED_AMOUNT,100.00,1500.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
0e861609-c592-4713-bfad-a86c2f7d1c00|TUITION|2025-09-02,0e861609-c592-4713-bfad-a86c2f7d1c00,TUITION,11e2a7fa-ffcd-43b8-96ae-b65f8787fe60,1600.00,,,1600.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a|TUITION|2025-09-01,81db6f65-f0d0-45e2-93d7-8d0e5c3dc56a,TUITION,1659e568-ea89-49a4-9499-3080f67ae56b,1500.00,FIXED_AMOUNT,500.00,1000.00,2025-09-01,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
58f5f801-a774-4b45-8960-aec7b7127187|TUITION|2025-09-02,58f5f801-a774-4b45-8960-aec7b7127187,TUITION,18002a07-9008-44bf-a421-035c6f8a41ff,1600.00,,,1600.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
