legacy_allocation_key,legacy_application_id,legacy_payment_id,legacy_student_id,legacy_charge_key,amount,allocation_mode,legacy_period,source
BACKFILL:BACKFILL-A-0110-20260415-INS-ABR|b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|ENROLLMENT_FEE|25-26|1,BACKFILL:BACKFILL-A-0110-20260415-INS-ABR,BACKFILL-A-0110-20260415-INS-ABR,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|ENROLLMENT_FEE|25-26,1000.00,MANUAL,BACKFILL,MANUAL_HISTORICAL_BACKFILL
BACKFILL:BACKFILL-A-0110-20260415-INS-ABR|b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-04|2,BACKFILL:BACKFILL-A-0110-20260415-INS-ABR,BACKFILL-A-0110-20260415-INS-ABR,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-04,1600.00,MANUAL,BACKFILL,MANUAL_HISTORICAL_BACKFILL
BACKFILL:BACKFILL-A-0110-20260515-MAY|b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-05|1,BACKFILL:BACKFILL-A-0110-20260515-MAY,BACKFILL-A-0110-20260515-MAY,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-05,1600.00,MANUAL,BACKFILL,MANUAL_HISTORICAL_BACKFILL
BACKFILL:BACKFILL-A-0110-20260615-JUN|b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-06|1,BACKFILL:BACKFILL-A-0110-20260615-JUN,BACKFILL-A-0110-20260615-JUN,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-06,1600.00,MANUAL,BACKFILL,MANUAL_HISTORICAL_BACKFILL
BACKFILL:BACKFILL-A-0110-20260720-JUL-AGO|b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-07|1,BACKFILL:BACKFILL-A-0110-20260720-JUL-AGO,BACKFILL-A-0110-20260720-JUL-AGO,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-07,1600.00,MANUAL,BACKFILL,MANUAL_HISTORICAL_BACKFILL
BACKFILL:BACKFILL-A-0110-20260720-JUL-AGO|b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-08|2,BACKFILL:BACKFILL-A-0110-20260720-JUL-AGO,BACKFILL-A-0110-20260720-JUL-AGO,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-08,1600.00,MANUAL,BACKFILL,MANUAL_HISTORICAL_BACKFILL
9c934f20-1550-4822-a37a-b1f23b76730a|f55dbff7-6831-4d96-8262-f103ccf4bd43|TUITION|2025-09|1,9c934f20-1550-4822-a37a-b1f23b76730a,b18c066b-b06e-45f7-b275-44a0456e6d66,f55dbff7-6831-4d96-8262-f103ccf4bd43,f55dbff7-6831-4d96-8262-f103ccf4bd43|TUITION|2025-09,1200.00,MANUAL,SEP,LEGACY_PAYMENT_APPLICATION
118975dc-ff44-4d65-9c2c-870514ea9a13|e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-10|1,118975dc-ff44-4d65-9c2c-870514ea9a13,b943106c-d45f-4a4b-a2cb-14eb7ba575e8,e57db8cf-8012-4fa3-b822-41d98008dc00,e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-10,1500.00,MANUAL,OCT,LEGACY_PAYMENT_APPLICATION
72300708-7fdd-4901-b7ea-efaaf0e0b019|e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-12|1,72300708-7fdd-4901-b7ea-efaaf0e0b019,b943106c-d45f-4a4b-a2cb-14eb7ba575e8,e57db8cf-8012-4fa3-b822-41d98008dc00,e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-12,1500.00,MANUAL,DIC/JUL,LEGACY_PAYMENT_APPLICATION
72300708-7fdd-4901-b7ea-efaaf0e0b019|e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2026-07|2,72300708-7fdd-4901-b7ea-efaaf0e0b019,b943106c-d45f-4a4b-a2cb-14eb7ba575e8,e57db8cf-8012-4fa3-b822-41d98008dc00,e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2026-07,1500.00,MANUAL,DIC/JUL,LEGACY_PAYMENT_APPLICATION
990cf4d6-1e42-4f1d-b410-6c2220f9d333|e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-11|1,990cf4d6-1e42-4f1d-b410-6c2220f9d333,b943106c-d45f-4a4b-a2cb-14eb7ba575e8,e57db8cf-8012-4fa3-b822-41d98008dc00,e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-11,1500.00,MANUAL,NOV,LEGACY_PAYMENT_APPLICATION
d2c29ef0-104e-4da2-9947-55fd6fbfd5e7|e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-09|1,d2c29ef0-104e-4da2-9947-55fd6fbfd5e7,b943106c-d45f-4a4b-a2cb-14eb7ba575e8,e57db8cf-8012-4fa3-b822-41d98008dc00,e57db8cf-8012-4fa3-b822-41d98008dc00|TUITION|2025-09,1500.00,MANUAL,SEP,LEGACY_PAYMENT_APPLICATION
